id,name,russian,url,kind,score,status,episodes,episodes_aired,aired_on,released_on
28907,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",Врата: Там бьются наши воины,/animes/y28907-gate-jieitai-kanochi-nite-kaku-tatakaeri,tv,7.68,released,12,12,2015-07-04,2015-09-19
42361,"Ijiranaide, Nagatoro-san","Не издевайся, Нагаторо",/animes/42361-ijiranaide-nagatoro-san,tv,7.19,released,12,12,2021-04-11,2021-06-27
10408,Hotarubi no Mori e,"В лес, где мерцают светлячки",/animes/10408-hotarubi-no-mori-e,movie,8.26,released,1,0,2011-09-17,
38040,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Этот замечательный мир! Багровая легенда,/animes/z38040-kono-subarashii-sekai-ni-shukufuku-wo-movie-kurenai-densetsu,movie,8.41,released,1,1,2019-08-30,
29786,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,"Скучный мир, где не существует самой идеи похабных шуток",/animes/z29786-shimoneta-to-iu-gainen-ga-sonzai-shinai-taikutsu-na-sekai,tv,7.21,released,12,12,2015-07-04,2015-09-19
2966,Ookami to Koushinryou,Волчица и пряности,/animes/2966-ookami-to-koushinryou,tv,8.21,released,13,0,2008-01-09,2008-03-26
1195,Zero no Tsukaima,Подручный Луизы-Нулизы,/animes/z1195-zero-no-tsukaima,tv,7.2,released,13,0,2006-07-03,2006-09-25
4654,Toaru Majutsu no Index,Индекс волшебства,/animes/4654-toaru-majutsu-no-index,tv,7.34,released,24,0,2008-10-05,2009-03-19
12355,Ookami Kodomo no Ame to Yuki,Волчьи дети Амэ и Юки,/animes/12355-ookami-kodomo-no-ame-to-yuki,movie,8.56,released,1,0,2012-07-21,
49596,Blue Lock,Синяя тюрьма: Блю Лок,/animes/49596-blue-lock,tv,8.16,released,24,24,2022-10-09,2023-03-26
249,InuYasha,Инуяся,/animes/z249-inuyasha,tv,7.87,released,167,0,2000-10-16,2004-09-13
40356,Tate no Yuusha no Nariagari Season 2,Восхождение героя щита 2,/animes/z40356-tate-no-yuusha-no-nariagari-season-2,tv,6.53,released,13,13,2022-04-06,2022-06-29
934,Higurashi no Naku Koro ni,Когда плачут цикады,/animes/z934-higurashi-no-naku-koro-ni,tv,7.87,released,26,0,2006-04-05,2006-09-27
10719,Boku wa Tomodachi ga Sukunai,У меня мало друзей,/animes/10719-boku-wa-tomodachi-ga-sukunai,tv,7.13,released,12,12,2011-10-07,2011-12-23
28927,Owari no Seraph: Nagoya Kessen-hen,Последний Серафим: Битва в Нагое,/animes/28927-owari-no-seraph-nagoya-kessen-hen,tv,7.61,released,12,12,2015-10-10,2015-12-26
28677,Yamada-kun to 7-nin no Majo,Ямада-кун и семь ведьм,/animes/z28677-yamada-kun-to-7-nin-no-majo,tv,7.52,released,12,12,2015-04-12,2015-06-28
24703,High School DxD BorN,Старшая школа DxD: Рождение,/animes/24703-high-school-dxd-born,tv,7.41,released,12,12,2015-04-04,2015-06-20
18507,Free!,Вольный стиль!,/animes/18507-free,tv,7.32,released,12,12,2013-07-04,2013-09-26
2236,Toki wo Kakeru Shoujo,"Девочка, покорившая время",/animes/2236-toki-wo-kakeru-shoujo,movie,8.09,released,1,0,2006-07-15,
39597,Sword Art Online: Alicization - War of Underworld,Мастера Меча Онлайн: Алисизация — Война в Подмирье,/animes/z39597-sword-art-online-alicization-war-of-underworld,tv,7.58,released,12,12,2019-10-13,2019-12-29
37086,Kakegurui××,Безумный азарт 2,/animes/37086-kakegurui,tv,7.18,released,12,12,2019-01-09,2019-03-27
